user_id,topic,solved_count
S014,Database,12
S014,Depth-First Search,1
S014,Design,1
S014,Dynamic Programming,1
S014,Hash Table,6
S014,Linked List,2
S014,Math,11
S014,Shell,1
S014,String,3
S014,Tree,3
S014,Two Pointers,1
S014,nan,4
S015,Array,58
S015,Backtracking,1
S015,Binary Search,1
S015,Bit Manipulation,1
S015,Database,15
S015,Dynamic Programming,1
S015,Hash Table,7
S015,Math,4
S015,Shell,1
S015,Stack,2
S015,String,9
S015,Tree,4
S015,Two Pointers,2
S015,nan,2
S016,Array,51
S016,Binary Search,1
S016,Database,5
S016,Depth-First Search,1
S016,Dynamic Programming,2
S016,Graph,1
S016,Hash Table,6
S016,Math,6
S016,String,8
S016,Tree,1
S016,Two Pointers,1
S016,nan,1
S017,Array,58
S017,Binary Search,1
S017,Database,11
S017,Dynamic Programming,2
S017,Hash Table,5
S017,Linked List,1
S017,Math,13
S017,Stack,1
S017,String,13
S017,Tree,2
S017,nan,2
S018,Array,54
S018,Bit Manipulation,2
S018,Database,13
S018,Depth-First Search,2
S018,Design,1
S018,Dynamic Programming,3
S018,Graph,1
S018,Hash Table,6
S018,Linked List,1
S018,Math,18
S018,Shell,1
S018,Stack,1
S018,String,10
S018,Tree,2
S018,Two Pointers,1
S018,nan,4
S019,Array,64
S019,Database,6
S019,Depth-First Search,1
S019,Design,1
S019,Hash Table,7
S019,Linked List,1
S019,Math,7
S019,String,6
S019,Tree,6
S019,nan,5
S020,Array,55
S020,Binary Search,1
S020,Bit Manipulation,1
S020,Database,10
S020,Dynamic Programming,2
S020,Hash Table,7
S020,Linked List,1
S020,Math,10
S020,Shell,1
S020,Stack,1
S020,String,10
S020,Tree,5
S020,Two Pointers,1
S020,nan,3
S021,Array,53
S021,Database,9
S021,Dynamic Programming,1
S021,Hash Table,9
S021,Linked List,1
S021,Math,15
S021,String,15
S021,Tree,6
S021,Two Pointers,1
S021,nan,4
S022,Array,74
S022,Database,11
S022,Dynamic Programming,3
S022,Hash Table,14
S022,Linked List,1
S022,Math,11
S022,String,6
S022,Tree,4
S022,nan,4
S023,Array,50
S023,Backtracking,1
S023,Bit Manipulation,2
S023,Database,9
S023,Depth-First Search,1
S023,Dynamic Programming,1
S023,Graph,1
S023,Hash Table,6
S023,Math,12
S023,String,4
S023,Tree,4
S023,Two Pointers,2
S023,nan,4
S024,Array,44
S024,Binary Search,1
S024,Database,13
S024,Dynamic Programming,2
S024,Hash Table,7
S024,Linked List,1
S024,Math,8
S024,Shell,1
S024,String,9
S024,Tree,3
S024,Two Pointers,3
S024,nan,4
S025,Array,39
S025,Binary Search,1
S025,Bit Manipulation,3
S025,Database,8
S025,Hash Table,11
S025,Linked List,1
S025,Math,7
S025,Shell,1
S025,Sorting,1
S025,Stack,2
S025,String,4
S025,Tree,2
S025,Two Pointers,1
S025,nan,7
S026,Array,45
S026,Database,8
S026,Dynamic Programming,2
S026,Hash Table,4
S026,Linked List,2
S026,Math,14
S026,String,10
S026,Tree,2
S026,Two Pointers,3
S026,nan,2
S027,Array,76
S027,Bit Manipulation,2
S027,Database,7
S027,Dynamic Programming,3
S027,Graph,1
S027,Hash Table,7
S027,Linked List,1
S027,Math,6
S027,Stack,1
S027,String,9
S027,Tree,4
S027,nan,3
S028,Array,47
S028,Bit Manipulation,1
S028,Database,12
S028,Hash Table,7
S028,Linked List,2
S028,Math,10
S028,String,9
S028,Tree,1
S028,Two Pointers,7
S028,nan,2
S029,Array,37
S029,Binary Search,3
S029,Bit Manipulation,2
S029,Database,5
S029,Depth-First Search,3
S029,Design,1
S029,Divide and Conquer,1
S029,Dynamic Programming,1
S029,Hash Table,6
S029,Linked List,1
S029,Math,5
S029,Stack,1
S029,String,2
S029,Tree,4
S029,nan,1
S030,Array,35
S030,Backtracking,1
S030,Database,8
S030,Dynamic Programming,1
S030,Hash Table,4
S030,Linked List,1
S030,Math,7
S030,String,4
S030,Tree,1
S030,nan,2
S031,Array,35
S031,Binary Search,1
S031,Database,9
S031,Design,1
S031,Hash Table,3
S031,Linked List,1
S031,Math,11
S031,Stack,2
S031,String,5
S031,Tree,4
S031,Trie,1
S031,Two Pointers,3
S031,nan,2
S032,Array,51
S032,Database,7
S032,Design,1
S032,Dynamic Programming,2
S032,Enumeration,1
S032,Hash Table,6
S032,Math,7
S032,String,6
S032,Tree,2
S032,Two Pointers,4
S032,nan,3
S033,Array,32
S033,Database,5
S033,Divide and Conquer,1
S033,Graph,1
S033,Hash Table,4
S033,Linked List,2
S033,Math,6
S033,Stack,1
S033,String,6
S033,Tree,2
S033,nan,3
S034,Array,49
S034,Bit Manipulation,1
S034,Concurrency,1
S034,Database,11
S034,Depth-First Search,2
S034,Divide and Conquer,1
S034,Dynamic Programming,2
S034,Graph,1
S034,Hash Table,3
S034,Linked List,3
S034,Math,5
S034,Shell,1
S034,Stack,1
S034,String,20
S034,Tree,4
S034,Two Pointers,3
S034,nan,3
S035,Array,29
S035,Database,9
S035,Depth-First Search,1
S035,Dynamic Programming,1
S035,Hash Table,5
S035,Linked List,1
S035,Math,10
S035,Shell,1
S035,String,14
S035,Tree,1
S035,Two Pointers,1
S035,nan,5
S036,Array,38
S036,Binary Search,1
S036,Database,7
S036,Divide and Conquer,1
S036,Dynamic Programming,2
S036,Graph,1
S036,Hash Table,9
S036,Math,6
S036,Shell,1
S036,String,5
S036,Tree,2
S036,Two Pointers,1
S036,nan,5
S037,Array,62
S037,Database,12
S037,Depth-First Search,1
S037,Dynamic Programming,1
S037,Graph,1
S037,Hash Table,8
S037,Linked List,2
S037,Math,8
S037,Stack,4
S037,String,8
S037,Tree,7
S037,Two Pointers,2
S037,nan,5
S038,Array,53
S038,Backtracking,2
S038,Database,5
S038,Dynamic Programming,2
S038,Hash Table,5
S038,Linked List,1
S038,Math,6
S038,String,7
S038,Tree,1
S038,Two Pointers,2
S038,nan,1
S039,Array,48
S039,Bit Manipulation,1
S039,Database,13
S039,Dynamic Programming,1
S039,Hash Table,4
S039,Math,6
S039,String,2
S039,Tree,3
S039,Two Pointers,3
S039,nan,1
S040,Array,37
S040,Backtracking,1
S040,Concurrency,1
S040,Database,10
S040,Depth-First Search,1
S040,Dynamic Programming,1
S040,Hash Table,9
S040,Linked List,2
S040,Math,6
S040,Stack,1
S040,String,6
S040,Tree,7
S040,Two Pointers,1
S040,nan,1
S041,Array,31
S041,Database,8
S041,Depth-First Search,1
S041,Dynamic Programming,1
S041,Graph,1
S041,Hash Table,8
S041,Math,3
S041,String,12
S041,Tree,3
S041,nan,4
S042,Array,32
S042,Database,7
S042,Dynamic Programming,1
S042,Hash Table,3
S042,Linked List,2
S042,Math,11
S042,String,15
S042,Tree,1
S042,Two Pointers,1
S042,nan,1
S043,Array,47
S043,Binary Search,1
S043,Breadth-First Search,1
S043,Database,6
S043,Depth-First Search,2
S043,Divide and Conquer,1
S043,Dynamic Programming,2
S043,Hash Table,9
S043,Linked List,1
S043,Math,8
S043,String,10
S043,Tree,1
S043,Two Pointers,1
S043,nan,6
S044,Array,47
S044,Binary Search,1
S044,Database,8
S044,Dynamic Programming,1
S044,Hash Table,6
S044,Linked List,1
S044,Math,8
S044,Stack,1
S044,String,7
S044,Tree,3
S044,Two Pointers,4
S044,nan,2
S045,Array,57
S045,Database,9
S045,Divide and Conquer,1
S045,Dynamic Programming,1
S045,Graph,1
S045,Hash Table,5
S045,Linked List,5
S045,Math,11
S045,String,12
S045,Tree,4
S045,Two Pointers,1
S045,nan,3
S046,Array,59
S046,Concurrency,1
S046,Database,10
S046,Depth-First Search,1
S046,Dynamic Programming,1
S046,Graph,1
S046,Hash Table,7
S046,Linked List,4
S046,Math,8
S046,Stack,1
S046,Tree,3
S046,Two Pointers,1
S046,nan,5
S047,Array,43
S047,Binary Search,1
S047,Bit Manipulation,2
S047,Database,7
S047,Depth-First Search,2
S047,Dynamic Programming,1
S047,Graph,1
S047,Hash Table,5
S047,Linked List,2
S047,Math,10
S047,String,8
S047,Tree,1
S047,Two Pointers,3
S047,nan,1
S048,Array,41
S048,Binary Search,1
S048,Bit Manipulation,1
S048,Breadth-First Search,1
S048,Database,9
S048,Depth-First Search,1
S048,Design,1
S048,Dynamic Programming,1
S048,Hash Table,2
S048,Math,8
S048,Stack,1
S048,String,9
S048,Tree,4
S048,Two Pointers,2
S048,nan,2
S049,Array,37
S049,Binary Search,1
S049,Bit Manipulation,1
S049,Database,8
S049,Hash Table,4
S049,Linked List,1
S049,Math,8
S049,String,5
S049,Tree,3
S049,Two Pointers,4
S049,nan,2
S050,Array,49
S050,Bit Manipulation,1
S050,Database,7
S050,Depth-First Search,2
S050,Design,1
S050,Dynamic Programming,1
S050,Graph,2
S050,Hash Table,4
S050,Math,11
S050,String,9
S050,Tree,2
S050,Two Pointers,1
S050,nan,5
S051,Array,60
S051,Backtracking,1
S051,Database,9
S051,Depth-First Search,1
S051,Dynamic Programming,1
S051,Greedy,2
S051,Hash Table,6
S051,Linked List,3
S051,Math,9
S051,String,18
S051,Tree,1
S051,Two Pointers,2
S051,nan,6
S052,Array,41
S052,Binary Search,1
S052,Concurrency,1
S052,Database,14
S052,Depth-First Search,1
S052,Hash Table,6
S052,Math,11
S052,Stack,1
S052,String,4
S052,Tree,2
S052,Two Pointers,2
S052,nan,2
S053,Array,51
S053,Concurrency,1
S053,Database,10
S053,Dynamic Programming,1
S053,Hash Table,5
S053,Linked List,2
S053,Math,5
S053,Stack,1
S053,String,14
S053,Two Pointers,2
S053,nan,2
S054,Array,50
S054,Binary Search,1
S054,Database,10
S054,Dynamic Programming,1
S054,Hash Table,3
S054,Linked List,2
S054,Math,11
S054,Shell,1
S054,String,5
S054,Tree,1
S054,Two Pointers,1
S054,nan,5
S055,Array,74
S055,Backtracking,1
S055,Bit Manipulation,1
S055,Database,12
S055,Dynamic Programming,1
S055,Hash Table,3
S055,Linked List,2
S055,Math,7
S055,String,3
S055,Tree,4
S055,Two Pointers,1
S055,nan,3
S056,Array,52
S056,Backtracking,1
S056,Binary Search,1
S056,Database,7
S056,Dynamic Programming,2
S056,Hash Table,5
S056,Linked List,3
S056,Math,8
S056,String,7
S056,Tree,1
S056,nan,2
S057,Array,44
S057,Backtracking,1
S057,Bit Manipulation,1
S057,Concurrency,1
S057,Database,7
S057,Dynamic Programming,2
S057,Graph,1
S057,Hash Table,8
S057,Linked List,2
S057,Math,6
S057,Stack,1
S057,String,2
S057,Tree,4
S057,Two Pointers,3
S058,Array,52
S058,Binary Search,1
S058,Database,8
S058,Divide and Conquer,1
S058,Graph,1
S058,Hash Table,7
S058,Linked List,2
S058,Math,4
S058,String,7
S058,Tree,2
S058,Two Pointers,1
S058,Union Find,1
S059,Array,33
S059,Binary Search,1
S059,Database,9
S059,Depth-First Search,1
S059,Graph,1
S059,Hash Table,5
S059,Linked List,1
S059,Math,8
S059,Stack,1
S059,String,4
S059,Tree,3
S059,Two Pointers,1
S059,nan,5
S060,Array,63
S060,Bit Manipulation,2
S060,Database,7
S060,Depth-First Search,2
S060,Dynamic Programming,3
S060,Hash Table,3
S060,Linked List,1
S060,Math,9
S060,Shell,1
S060,Stack,2
S060,String,4
S060,Tree,1
S060,Two Pointers,3
S060,Union Find,1
S060,nan,3
S061,Array,62
S061,Binary Search,1
S061,Bit Manipulation,1
S061,Database,10
S061,Dynamic Programming,2
S061,Hash Table,10
S061,Math,10
S061,Stack,1
S061,String,14
S061,Tree,4
S061,Two Pointers,5
S061,nan,2
S062,Array,42
S062,Concurrency,1
S062,Database,10
S062,Design,1
S062,Dynamic Programming,2
S062,Hash Table,6
S062,Math,7
S062,Stack,1
S062,String,2
S062,Tree,4
S062,nan,2
S063,Array,42
S063,Database,7
S063,Hash Table,9
S063,Linked List,4
S063,Math,3
S063,Stack,2
S063,String,11
S063,Tree,4
S063,Two Pointers,3
S063,nan,1
S064,Array,46
S064,Database,11
S064,Depth-First Search,1
S064,Dynamic Programming,2
S064,Graph,1
S064,Hash Table,10
S064,Linked List,2
S064,Math,9
S064,String,3
S064,Tree,4
S064,Two Pointers,2
S064,nan,7
S065,Array,43
S065,Database,8
S065,Divide and Conquer,1
S065,Dynamic Programming,1
S065,Hash Table,6
S065,Linked List,3
S065,Math,13
S065,String,10
S065,Tree,5
S065,Two Pointers,2
S065,nan,7
S066,Array,56
S066,Database,13
S066,Depth-First Search,2
S066,Dynamic Programming,2
S066,Hash Table,11
S066,Linked List,2
S066,Math,9
S066,Stack,1
S066,String,11
S066,Tree,4
S066,Union Find,1
S067,Array,38
S067,Bit Manipulation,1
S067,Concurrency,1
S067,Database,3
S067,Dynamic Programming,2
S067,Hash Table,6
S067,Math,4
S067,String,5
S067,Tree,3
S067,Two Pointers,3
S067,nan,3
S068,Array,43
S068,Bit Manipulation,2
S068,Database,7
S068,Dynamic Programming,1
S068,Hash Table,8
S068,Math,9
S068,Stack,2
S068,String,9
S068,Tree,4
S068,Two Pointers,1
S068,nan,3
S069,Array,55
S069,Database,12
S069,Divide and Conquer,1
S069,Dynamic Programming,1
S069,Enumeration,1
S069,Hash Table,11
S069,Math,10
S069,String,4
S069,Tree,5
S069,Two Pointers,2
S069,nan,5
S070,Array,65
S070,Binary Search,1
S070,Bit Manipulation,1
S070,Database,10
S070,Depth-First Search,1
S070,Divide and Conquer,1
S070,Hash Table,6
S070,Linked List,4
S070,Math,7
S070,String,8
S070,Tree,2
S070,Two Pointers,2
S070,nan,3
S071,Array,46
S071,Backtracking,1
S071,Database,10
S071,Design,1
S071,Dynamic Programming,1
S071,Hash Table,10
S071,Math,10
S071,Stack,3
S071,String,6
S071,Tree,5
S071,Two Pointers,1
S071,nan,1
S072,Array,59
S072,Binary Search,1
S072,Concurrency,1
S072,Database,12
S072,Dynamic Programming,1
S072,Graph,2
S072,Hash Table,3
S072,Math,7
S072,Stack,1
S072,String,7
S072,Tree,3
S072,Two Pointers,1
S072,nan,5
S073,Array,38
S073,Binary Search,1
S073,Bit Manipulation,1
S073,Database,5
S073,Divide and Conquer,1
S073,Hash Table,8
S073,Linked List,1
S073,Math,11
S073,Stack,1
S073,String,3
S073,Tree,1
S073,Two Pointers,2
S074,Array,67
S074,Bit Manipulation,1
S074,Concurrency,1
S074,Database,12
S074,Dynamic Programming,4
S074,Enumeration,1
S074,Graph,1
S074,Hash Table,7
S074,Linked List,2
S074,Math,8
S074,String,15
S074,Tree,2
S074,Two Pointers,2
S074,nan,4
S075,Array,32
S075,Database,13
S075,Depth-First Search,2
S075,Hash Table,5
S075,Math,7
S075,String,5
S075,Tree,4
S075,Two Pointers,3
S075,nan,1
S076,Array,44
S076,Bit Manipulation,2
S076,Concurrency,1
S076,Database,7
S076,Depth-First Search,2
S076,Design,1
S076,Divide and Conquer,1
S076,Dynamic Programming,1
S076,Hash Table,6
S076,Linked List,1
S076,Math,4
S076,Stack,1
S076,String,6
S076,Tree,3
S076,Two Pointers,1
S076,nan,3
S077,Array,48
S077,Database,9
S077,Design,2
S077,Dynamic Programming,1
S077,Graph,1
S077,Hash Table,8
S077,Linked List,1
S077,Math,10
S077,String,11
S077,Tree,2
S077,Two Pointers,3
S077,nan,2
S078,Array,54
S078,Concurrency,1
S078,Database,6
S078,Design,1
S078,Enumeration,1
S078,Hash Table,6
S078,Linked List,2
S078,Math,11
S078,Shell,1
S078,String,4
S078,Tree,3
S078,Two Pointers,1
S078,Union Find,1
S078,nan,2
S079,Array,63
S079,Database,7
S079,Dynamic Programming,2
S079,Hash Table,8
S079,Linked List,1
S079,Math,10
S079,String,10
S079,Tree,2
S079,Two Pointers,1
S079,nan,5
S080,Array,40
S080,Binary Search,1
S080,Database,8
S080,Dynamic Programming,1
S080,Graph,1
S080,Hash Table,4
S080,Linked List,1
S080,Math,12
S080,String,7
S080,Tree,4
S080,Two Pointers,2
S080,nan,3
S081,Array,54
S081,Bit Manipulation,3
S081,Database,5
S081,Depth-First Search,1
S081,Dynamic Programming,2
S081,Hash Table,6
S081,Linked List,1
S081,Math,11
S081,String,9
S081,Tree,4
S081,Two Pointers,1
S081,nan,7
S082,Array,37
S082,Backtracking,1
S082,Database,6
S082,Dynamic Programming,1
S082,Graph,1
S082,Hash Table,3
S082,Linked List,3
S082,Math,9
S082,String,12
S082,Tree,1
S082,nan,5
S083,Array,42
S083,Database,7
S083,Dynamic Programming,1
S083,Hash Table,2
S083,Linked List,1
S083,Math,9
S083,Stack,1
S083,String,14
S083,Tree,3
S083,Two Pointers,3
S083,Union Find,1
S083,nan,9
S084,Array,55
S084,Bit Manipulation,2
S084,Database,7
S084,Depth-First Search,1
S084,Graph,1
S084,Hash Table,4
S084,Linked List,2
S084,Math,7
S084,Stack,1
S084,String,4
S084,Tree,2
S084,Two Pointers,3
S084,nan,2
S085,Array,47
S085,Bit Manipulation,2
S085,Concurrency,1
S085,Database,10
S085,Depth-First Search,1
S085,Dynamic Programming,1
S085,Hash Table,2
S085,Linked List,2
S085,Math,6
S085,String,4
S085,Tree,1
S085,nan,1
S086,Array,61
S086,Binary Search,1
S086,Bit Manipulation,2
S086,Breadth-First Search,2
S086,Database,8
S086,Dynamic Programming,2
S086,Graph,1
S086,Hash Table,13
S086,Linked List,1
S086,Math,9
S086,Stack,3
S086,String,9
S086,Tree,2
S086,Two Pointers,2
S086,nan,2
S087,Array,62
S087,Concurrency,1
S087,Database,12
S087,Dynamic Programming,2
S087,Hash Table,9
S087,Linked List,1
S087,Math,6
S087,String,14
S087,Tree,5
S087,Two Pointers,2
S087,nan,4
S088,Array,57
S088,Binary Search,1
S088,Bit Manipulation,3
S088,Database,16
S088,Design,1
S088,Divide and Conquer,1
S088,Dynamic Programming,2
S088,Hash Table,6
S088,Linked List,1
S088,Math,10
S088,String,7
S088,Tree,4
S088,Two Pointers,3
S088,nan,4
S089,Array,55
S089,Binary Search,2
S089,Breadth-First Search,1
S089,Database,11
S089,Dynamic Programming,1
S089,Hash Table,7
S089,Math,7
S089,Shell,1
S089,Stack,1
S089,String,6
S089,Tree,3
S089,Two Pointers,2
S089,nan,4
S090,Array,45
S090,Database,8
S090,Design,1
S090,Dynamic Programming,2
S090,Graph,1
S090,Hash Table,12
S090,Math,9
S090,String,1
S090,Tree,3
S090,Two Pointers,1
S090,nan,6
S091,Array,57
S091,Backtracking,1
S091,Bit Manipulation,1
S091,Database,5
S091,Dynamic Programming,2
S091,Hash Table,6
S091,Math,12
S091,String,12
S091,Tree,3
S091,Two Pointers,4
S091,nan,3
S092,Array,75
S092,Bit Manipulation,1
S092,Breadth-First Search,2
S092,Database,10
S092,Depth-First Search,1
S092,Dynamic Programming,1
S092,Graph,1
S092,Hash Table,9
S092,Linked List,2
S092,Math,5
S092,Shell,1
S092,Stack,1
S092,String,9
S092,Tree,4
S092,nan,5
S093,Array,63
S093,Database,3
S093,Depth-First Search,2
S093,Hash Table,7
S093,Math,12
S093,Stack,1
S093,String,7
S093,Tree,4
S093,Two Pointers,1
S093,nan,1
S094,Array,53
S094,Binary Search,1
S094,Database,9
S094,Depth-First Search,2
S094,Graph,1
S094,Hash Table,10
S094,Linked List,2
S094,Math,15
S094,Stack,1
S094,String,12
S094,Tree,4
S094,Two Pointers,2
S094,nan,1
S095,Array,40
S095,Database,14
S095,Dynamic Programming,1
S095,Hash Table,7
S095,Linked List,2
S095,Math,13
S095,Stack,1
S095,String,7
S095,Tree,4
S095,Two Pointers,2
S095,nan,1
S096,Array,66
S096,Breadth-First Search,1
S096,Database,6
S096,Depth-First Search,1
S096,Greedy,1
S096,Hash Table,5
S096,Math,14
S096,Stack,1
S096,String,13
S096,Tree,3
S096,Two Pointers,4
S096,Union Find,1
S096,nan,7
S097,Array,42
S097,Backtracking,1
S097,Bit Manipulation,2
S097,Concurrency,1
S097,Database,9
S097,Depth-First Search,1
S097,Hash Table,6
S097,Linked List,1
S097,Math,4
S097,Stack,1
S097,String,4
S097,Tree,1
S097,Two Pointers,1
S097,nan,5
S098,Array,62
S098,Backtracking,1
S098,Database,8
S098,Design,1
S098,Graph,1
S098,Hash Table,2
S098,Linked List,3
S098,Math,10
S098,Stack,1
S098,String,11
S098,Tree,1
S098,Two Pointers,1
S098,nan,1
S099,Array,58
S099,Binary Search,2
S099,Database,11
S099,Depth-First Search,1
S099,Design,1
S099,Dynamic Programming,1
S099,Graph,2
S099,Hash Table,7
S099,Linked List,1
S099,Math,8
S099,String,11
S099,Tree,4
S099,nan,3
S100,Array,40
S100,Backtracking,2
S100,Concurrency,1
S100,Database,8
S100,Depth-First Search,1
S100,Dynamic Programming,1
S100,Hash Table,11
S100,Linked List,1
S100,Math,6
S100,String,7
S100,Tree,1
S100,nan,3
S101,Array,49
S101,Backtracking,1
S101,Bit Manipulation,1
S101,Database,9
S101,Depth-First Search,3
S101,Divide and Conquer,1
S101,Hash Table,3
S101,Linked List,2
S101,Math,7
S101,Stack,1
S101,String,9
S101,Tree,3
S101,Two Pointers,3
S101,nan,4
S102,Array,48
S102,Binary Search,1
S102,Bit Manipulation,1
S102,Database,16
S102,Design,1
S102,Hash Table,8
S102,Linked List,1
S102,Math,6
S102,String,13
S102,Tree,4
S102,Two Pointers,3
S102,nan,3
S103,Array,45
S103,Bit Manipulation,1
S103,Concurrency,1
S103,Database,10
S103,Design,1
S103,Dynamic Programming,1
S103,Hash Table,1
S103,Math,4
S103,String,4
S103,Tree,3
S103,Two Pointers,4
S103,nan,2
S104,Array,50
S104,Bit Manipulation,1
S104,Breadth-First Search,1
S104,Concurrency,1
S104,Database,9
S104,Graph,1
S104,Hash Table,7
S104,Linked List,5
S104,Math,10
S104,Stack,1
S104,String,6
S104,Tree,3
S104,Two Pointers,1
S104,nan,6
S105,Array,50
S105,Bit Manipulation,1
S105,Database,13
S105,Dynamic Programming,2
S105,Hash Table,8
S105,Linked List,1
S105,Math,7
S105,Shell,1
S105,String,6
S105,Tree,4
S105,Two Pointers,2
S106,Array,39
S106,Database,7
S106,Depth-First Search,1
S106,Hash Table,6
S106,Linked List,1
S106,Math,8
S106,String,7
S106,Tree,4
S106,nan,1
S107,Array,58
S107,Bit Manipulation,1
S107,Concurrency,1
S107,Database,8
S107,Enumeration,1
S107,Graph,1
S107,Hash Table,2
S107,Linked List,1
S107,Math,7
S107,String,8
S107,Tree,2
S107,Two Pointers,1
S107,nan,1
S108,Array,41
S108,Binary Search,1
S108,Bit Manipulation,1
S108,Database,9
S108,Hash Table,8
S108,Linked List,1
S108,Math,9
S108,String,5
S108,Tree,1
S108,Two Pointers,2
S108,nan,6
S109,Array,51
S109,Backtracking,1
S109,Database,9
S109,Depth-First Search,2
S109,Hash Table,5
S109,Linked List,2
S109,Math,9
S109,Shell,1
S109,Stack,1
S109,String,6
S109,Two Pointers,1
S109,nan,3
S110,Array,29
S110,Database,3
S110,Hash Table,6
S110,Linked List,1
S110,Math,8
S110,String,7
S110,Tree,3
S110,Union Find,1
S110,nan,4
S111,Array,44
S111,Breadth-First Search,1
S111,Database,7
S111,Graph,1
S111,Hash Table,11
S111,Linked List,2
S111,Math,10
S111,String,11
S111,Tree,6
S111,Two Pointers,2
S112,Array,37
S112,Backtracking,1
S112,Database,10
S112,Depth-First Search,1
S112,Hash Table,9
S112,Linked List,3
S112,Math,7
S112,Sorting,1
S112,Stack,1
S112,String,9
S112,Tree,7
S112,Two Pointers,3
S112,nan,3
S113,Array,53
S113,Backtracking,1
S113,Binary Search,2
S113,Bit Manipulation,1
S113,Database,12
S113,Dynamic Programming,1
S113,Hash Table,10
S113,Linked List,1
S113,Math,9
S113,Shell,1
S113,Stack,1
S113,String,13
S113,Tree,4
S113,Two Pointers,1
S113,nan,1
S114,Array,38
S114,Concurrency,1
S114,Database,6
S114,Design,1
S114,Dynamic Programming,2
S114,Greedy,1
S114,Hash Table,6
S114,Linked List,2
S114,Math,11
S114,String,10
S114,Tree,5
S114,Two Pointers,2
S114,nan,3
S115,Array,38
S115,Bit Manipulation,3
S115,Database,9
S115,Divide and Conquer,1
S115,Dynamic Programming,1
S115,Hash Table,5
S115,Math,3
S115,Shell,1
S115,String,6
S115,nan,5
S116,Array,46
S116,Backtracking,1
S116,Binary Search,1
S116,Database,12
S116,Depth-First Search,1
S116,Dynamic Programming,2
S116,Hash Table,3
S116,Math,8
S116,String,10
S116,Tree,2
S116,Two Pointers,6
S116,nan,3
S117,Array,61
S117,Breadth-First Search,1
S117,Database,17
S117,Depth-First Search,2
S117,Dynamic Programming,3
S117,Hash Table,2
S117,Linked List,1
S117,Math,5
S117,Stack,2
S117,String,11
S117,Tree,9
S117,Two Pointers,2
S117,nan,3
S118,Array,60
S118,Binary Search,1
S118,Breadth-First Search,1
S118,Database,11
S118,Depth-First Search,2
S118,Dynamic Programming,1
S118,Enumeration,1
S118,Hash Table,10
S118,Linked List,4
S118,Math,8
S118,Stack,2
S118,String,9
S118,Tree,6
S118,nan,2
S119,Array,47
